x_Raw,y_Raw,z_Raw,x_Gravity,y_Gravity,z_Gravity,x_Linear,y_Linear,z_Linear,x_Gyroscope,y_Gyroscope,z_Gyroscope,x_Geomagnetic,y_Geomagnetic,z_Geomagnetic,rotationMatirx0,rotationMatirx1,rotationMatirx2,rotationMatirx3,rotationMatirx4,rotationMatirx5,RrotationMatirx,rotationMatirx7,rotationMatirx8
0.17365085,-9.625164,-0.17900732,0.049709667,-9.806467,0.033618886,-0.20397733,0.026602745,-0.1333982,0.18135446,-0.0034487909,-0.019401113,6.479515,-33.239395,8.904804,-0.8506101,-0.025113676,0.525197,0.5254877,-0.006342129,0.8507776,-0.018035285,0.9996645,0.018591607
0.16167346,-9.68026,0.40309396,0.054490346,-9.80538,0.14806624,-0.24225947,-0.038567543,0.04024248,0.24953133,8.1226334E-4,-0.035380065,6.7045135,-33.389404,9.242304,-0.7873524,0.012516555,0.6163761,0.61627734,0.043037027,0.7863523,-0.016684571,0.99899507,-0.041598976
-0.19285737,-9.732961,0.6378508,0.077937864,-9.803043,0.2542605,0.39559987,0.041973114,0.19103128,0.15791866,0.004008054,0.010426267,6.8920135,-33.708145,10.011055,-0.71687704,0.05972792,0.69463646,0.69691926,0.03313892,0.7163835,0.019768594,0.9976645,-0.06538207
0.18562825,-9.740147,0.6378508,0.06138052,-9.799121,0.37926376,-0.011931282,0.11596203,0.3590463,0.06950179,8.1226334E-4,-0.0012916317,7.0607605,-33.558136,10.161055,-0.77818865,0.026260972,0.6274814,0.6277428,0.06277381,0.77588564,-0.019013882,0.9976822,-0.06533499
0.03950405,-9.694633,0.19229186,0.06816712,-9.7973175,0.42225945,0.05077268,0.0425663,0.14850712,-0.0071971873,-0.0087751085,-0.014074794,6.9857597,-33.501877,10.592304,-0.8230906,0.007909373,0.5678549,0.5678953,0.018635998,0.8228896,-0.004074002,0.999795,-0.019830812
-0.06829248,-9.785661,0.27852908,0.070087776,-9.797697,0.41303188,-0.1260162,-0.09950733,-0.14420152,0.033282828,-0.04925512,-0.044967435,6.7795105,-33.370636,10.761055,-0.8133608,0.022222837,0.581335,0.58171785,0.01908544,0.81316686,0.0069758375,0.9995709,-0.028450768
-0.45396453,-9.869503,0.89895797,0.018553559,-9.796256,0.4510063,-0.27598798,-0.11691475,0.25636947,-0.028502457,-0.18880463,0.081798926,6.8732567,-33.67064,10.779806,-0.6721452,0.09776662,0.7339363,0.73900396,0.027321443,0.6731467,0.045759086,0.9948342,-0.0906139
-0.1784845,-9.617977,0.42465326,-0.027433358,-9.796334,0.44884923,-0.17035149,0.0242033,0.26309973,-0.12437618,-0.26230782,0.07327682,6.723255,-33.783142,10.742306,-0.77726656,0.042140856,0.62775874,0.6288985,0.022642385,0.7771578,0.018536137,0.9988551,-0.044101484
-0.27430362,-9.9126215,0.2665517,-0.07407857,-9.798953,0.3813346,-0.12869084,-0.17410469,-0.06038302,-0.066851944,-0.2218278,0.09351683,6.892002,-33.80188,10.798557,-0.78354245,0.03835831,0.6201532,0.6207227,0.0039056782,0.7840205,0.027651578,0.9992564,-0.026870135
-0.123388484,-9.826384,0.32883415,-0.13557552,-9.798961,0.3638399,-0.10769169,-0.05416107,0.10660869,0.029021773,-0.42848894,-0.07053375,7.4170074,-34.664383,10.273556,-0.75721085,0.03134098,0.65241814,0.65304995,0.017136352,0.7571209,0.0125488425,0.9993618,-0.033443056
-0.14255232,-9.7808695,0.24499238,-0.09022477,-9.798751,0.38305965,-0.052374706,-0.09743309,-0.15703085,0.098263904,-0.41783628,-0.09077376,7.3420067,-34.589386,10.254805,-0.767033,0.02723578,0.6410293,0.64144224,0.00986584,0.76710784,0.014568489,0.9995803,-0.025037605
-0.16171615,-9.553299,0.3647663,-0.046098642,-9.79698,0.43297023,-0.15163942,0.18867588,0.016480684,0.053522833,-0.46470788,-0.036445327,7.454506,-35.208145,10.217304,-0.7400583,0.038165342,0.6714589,0.6723299,0.016876057,0.7400591,0.016913034,0.9991288,-0.038148973
-0.029964823,-9.567673,0.36716178,-0.03436096,-9.796437,0.44611105,-0.05321449,0.20917034,-0.09417078,0.019434402,-0.49240473,-0.0044874223,8.092003,-35.63939,10.367304,-0.7387417,0.028155556,0.6734004,0.6739814,0.026220953,0.7382828,0.003129563,0.99925953,-0.03834683
-0.15213424,-9.591627,0.37913918,-0.022508811,-9.796614,0.44300038,0.049906336,0.2206459,-0.078088015,-0.02956772,-0.52542794,0.027470483,9.235752,-36.18315,11.061054,-0.7000307,0.039288092,0.7130313,0.7139369,0.016346594,0.7000191,0.015846783,0.9990941,-0.039492335
